"ID","publication_date","best_name","best_name_prob","best_common","best_common_prob","best_full","best_full_prob","article_count","extracted_url","extracted_url_status","extracted_url_coordinates","aug_extracted_url_country","wayback_url","affiliation","authors","grant_ids","grant_agencies","num_citations","aug_affiliation_countries"
"38622098",2024-02-01,"AgeMeta",0.997973561,"AgeMeta",0.997973561,"Database of Mammalian",0.637330472,1,"http://age-meta.com","HTTPConnectionPool(host='age-meta.com', port=80): Pool is closed.","",NA,"None","Belozersky Institute of Physico-Chemical Biology, Lomonosov Moscow State University, Moscow, 119234, Russia.","Tikhonov S, Batin M, Gladyshev VN, Dmitriev SE, Tyshkovskiy A","","",4,"Russia"
"38718922",2024-05-06,"Alpha&ESMhFolds",0.969740672,"Alpha&ESMhFolds",0.969740672,"",0,1,"http://alpha-esmhfolds.biocomp.unibo.it","302","(44.4938,11.3387)","Italy","None","Biocomputing Group, Dept. of Pharmacy and Biotechnology, University of Bologna, Italy.","Manfredi M, Savojardo C, Iardukhin G, Salomoni D, Costantini A, Martelli PL, Casadio R","","European Commission, Ministero dell&apos;Istruzione dell&apos;Universita e della Ricerca",14,"Italy"
"38844871",2024-01-01,"AbNGS",0.994563878,"AbNGS",0.994563878,"",0,1,"http://naturalantibody.com/ngs","301","(1.2897,103.8501)","Singapore","None","NaturalAntibody, Szczecin, Poland.","Dudzic P, Chomicz D, KoÅczak J, SatÅawa T, Janusz B, Wrobel S, GawÅowski T, Jaszczyszyn I, Bielska W, Demharter S, Spreafico R, Schulte L, Martin K, Comeau SR, Krawczyk K","","no funding associated",9,"Poland"
"39162009",2024-09-01,"ACC_CellMinerCDB",0.933717191,"ACC_CellMinerCDB",0.933717191,"",0,1,"http://discover.nci.nih.gov/acc_cellminercdb","301","(39.1157,-77.5636)","USA","None","Developmental Therapeutics Branch, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, Maryland.","Arakawa Y, Elloumi F, Varma S, Khandagale P, Jo U, Kumar S, Roper N, Reinhold WC, Robey RW, Takebe N, Gottesman MM, Thomas CJ, Boeva V, Berruti A, Abate A, Tamburello M, Sigala S, Hantel C, Weigand I, Wierman ME, Kiseljak-Vassiliades K, Del Rivero J, Pommier Y","","Intramural NIH HHS",3,"NA"
"39192607",2024-08-01,"AiPD",0.979876268,"AiPD",0.979876268,"Autoinhibited Protein Database",0.945263231,1,"http://ssbio.cau.ac.kr/databases/AiPD","301","(37.4565,126.7052)","South Korea","None","Department of Biomedical Engineering, Chung-Ang University, Seoul 06974, South Korea.","Cho D, Lee HM, Kim JA, Song JG, Hwang SH, Lee B, Park J, Tran KM, Kim J, Vo PNL, Bae J, Pimt T, Lee K, Gsponer J, Kim HW, Na D","","National Research Foundation of Korea, National Research Foundation of Korea (NRF)",1,"Korea"
"39224843",2024-08-19,"AGD",0.988301277,"AGD",0.988301277,"Asteraceae Genomics Database",0.970619678,1,"http://cbcb.cdutcm.edu.cn/AGD","301","(30.6667,104.0667)","China","None","State Key Laboratory of Modern Chinese Medicine, Tianjin University of Traditional Chinese Medicine, Tianjin, China.","Wang L, Yang H, Xu G, Liu Z, Meng F, Shi L, Liu X, Zheng Y, Zhang G, Yang X, Chen W, Song C, Zhang B","","National Key Research and Development Program of China, Chengdu University of Traditional Chinese Medicine",4,"China"
"39342076",2024-09-28,"ANAgdb",0.997683942,"ANAgdb",0.997683942,"ANA-grade Genome Database",0.909666862,1,"http://anagenome.cn","302","(31.2222,121.4581)","China","None","CoâInnovation Center for Sustainable Forestry in Southern China, College of Life Sciences, Nanjing Forestry University, Nanjing, 210037, China.","Guo Z, Luo S, Wang Q, Yang Y, Bai Y, Wei J, Wang D, Duan Y, Yang X, Yang Y","","National Natural Science Foundation of China, National Natural Science Foundation of China",1,"China, China"
"39377391",2025-01-01,"AMIR",0.979358077,"AMIR",0.979358077,"Asteraceae Multi-omics Information Resource",0.958360621,1,"http://yanglab.hzau.edu.cn/AMIR","403","",NA,"None","National Key Laboratory for Germplasm Innovation & Utilization of Horticultural Crops, Huazhong Agricultural University, WuhanÂ 430070, China.","Liu D, Luo C, Dai R, Huang X, Chen X, He L, Mao H, Li J, Zhang L, Yang QY, Mei Z","","Fundamental Research Funds for the Central University HZAU, National Key R&amp;D Program of China, National Key R&amp;D Program of China, Seed Industry High-quality Development Project Of Hubei Province, National Key R&D Program of China, National Natural Science Foundation of China, National Natural Science Foundation of China",6,"China"
"39395188",2024-10-01,"AbAMPdb",0.996243238,"AbAMPdb",0.996243238,"",0,1,"http://abampdb.mgbio.tech","301","(60.1695,24.9354)","Finland","None","Atta-ur-Rahman School of Applied Biosciences (ASAB), National University of Sciences and Technology (NUST), Sector H-12, Islamabad 44000, Pakistan.","Anwer F, Navid A, Faiz F, Haider U, Nasir S, Farooq M, Zahra M, Bano A, Bashir HH, Ahmad M, Abbas SA, Room SE, Saeed MT, Ali A","","Higher Education Commission (HEC), Pakistan, under the National Research Program for Universities (NRPU) project",3,"Pakistan"
"39615827",2024-11-28,"AMDGKB",0.996453583,"AMDGKB",0.996453583,"",0,1,"http://amdgd.bioinf.org.cn/for","200","(34.0522,-118.2437)","USA","None","Department of Ophthalmology, West China Hospital, Sichuan University, China.","Wang D, Tang T, Wang Y, Zhao J, Shen B, Zhang M","","",0,"China, China"
"39695922",2024-12-18,"Aging2Cancer",0.995824888,"Aging2Cancer",0.995824888,"",0,1,"http://210.37.77.200:8080/Aging2Cancer/index.jsp","HTTPConnectionPool(host='210.37.77.200', port=8080): Max retries exceeded with url: /Aging2Cancer/index.jsp (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ed4b19fd310>: Failed to establish a new connection: [Errno 111] Connection refused'))","",NA,"None","College of Biomedical Information and Engineering, Hainan Affiliated Hospital, Hainan General Hospital, Hainan Medical University, Haikou, 571199, China.","Xu D, Shen Y, Zhang N, Deng G, Zheng D, Li P, Cai J, Tian G, Wei Q, Jiang H, Xu J, Wang B, Li K","","Major Science and Technology Program of Hainan Province, National Natural Science Foundation of China, Innovative research project for Graduate students in Hainan Province",0,"China"
"39703430",2024-12-18,"ABSD",0.994937181,"ABSD",0.994937181,"AntiBody Sequence Database",0.982847822,1,"http://absd.pasteur.cloud","302","(48.8473,2.3245)","France","None","Institut Pasteur, UniversitÃ© Paris CitÃ©, Bioinformatics and Biostatistics Hub, 28 rue du Dr Roux,Â F-75015 Paris, France.","Malesys S, Torchet R, Saunier B, Maillet N","","",1,"France"
"39937661",2025-02-01,"AnnCovDB",0.993958294,"AnnCovDB",0.993958294,"",0,1,"http://anncovdb.app.bio-it.tech","301","(39.9075,116.3972)","China","None","Academy of Military Medical Sciences, No. 27 Taiping Road, Haidian District, Beijing 100850, PR China.","Zhang X, Lei Z, Zhang J, Yang T, Liu X, Xue J, Ni M","","National Natural Science Foundation of China",0,"China"
"40133787",2025-01-29,"AlphaFold",0.980505466,"AlphaFold",0.980505466,"",0,1,"http://alphafold.ebi.ac.uk/, http://www.ebi.ac.uk/pdbe/pdbe-kb/3dbeacons","301, 301","(39.0997,-94.5786), (51.5085,-0.1257)","USA","None, None","European Molecular Biology Laboratory European Bioinformatics Institute Hinxton UK.","Fleming J, Magana P, Nair S, Tsenkov M, Bertoni D, Pidruchna I, Lima Afonso MQ, Midlik A, Paramval U, Å½Ã­dek A, Laydon A, Kovalevskiy O, Pan J, Cheng J, Avsec Å½, Bycroft C, Wong LH, Last M, Mirdita M, Steinegger M, Kohli P, VÃ¡radi M, Velankar S","","National Research Foundation of Korea, Biotechnology and Biological Sciences Research Council",48,"United Kingdom"
"40250417",2025-04-01,"AFED",0.987117569,"AFED",0.987117569,"Aspergillus flavus expression database",0.98513934,1,"http://a-flavus-expression-db-jyqnpeuvta-uc.a.run.app","302","(38.0088,-122.1175)","USA","None","Food and Feed Safety Research, Southern Regional Research Center, Agriculture Research Service, United States Department of Agriculture (USDA), 1100 Allen Toussaint Blvd, New Orleans, LA 70124, United States.","Mack BM, Lebar MD","","USDA",0,"United States, United States"
"40308064",2025-04-29,"3D-GDP",0.995221829,"3D-GDP",0.995221829,"genome",0.578920722,1,"http://www.3d-gdp.com","200","(22.3302,114.1595)",NA,"None","State Key Laboratory of North China Crop Improvement and Regulation, Hebei International Research Center of Vegetable Functional Genomics, College of Horticulture, Hebei Agricultural University, Baoding 071000, China.","Yang Q, Wu T, Liu M, Zhang X, Sun X, Feng D, Lu Y, Chen X, Hong Y, Ma W, Zhao J","","Non-US Government Research Support type, National Natural Science Foundation of China, Natural Science Foundation of Hebei Province, National Natural Science Foundation of China, Natural Science Foundation of Hebei Province",0,"China, China"
"40402563",2025-05-22,"AACDB",0.986964989,"AACDB",0.986964989,"Antigen-Antibody Complex Database",0.927708305,1,"http://i.uestc.edu.cn/AACDB","302","(30.6667,104.0667)","China","None","The Clinical Hospital of Chengdu Brain Science Institute, School of Life Science and Technology, University of Electronic Science and Technology of China, Chengdu, China.","Zhou Y, Liu W, Huang Z, Gou Y, Liu S, Jiang L, Yang Y, Huang J","","National Natural Science Foundation of China, National Natural Science Foundation of China, Sichuan Provincial Science and Technology Support Program",3,"China, China"
"40606149",2025-06-18,"AlgicideDB",0.996805012,"AlgicideDB",0.996805012,"",0,1,"http://algicidedb.ocean-meta.com","200","(30.2936,120.1614)","China","None","Ocean College, Zhejiang University, Zhoushan, Zhejiang, China.","Zuo Z, Hu J, Zhang C, Wang Z, Chen L, Li F, Xiao X","","",0,"China"
"40841691",2025-08-21,"AgMicrobiomeBase",0.996726274,"AgMicrobiomeBase",0.996726274,"Crop Microbiome Cryobank",0.703105487,1,"http://agmicrobiomebase.org/data","301","(51.5085,-0.1257)","UK","None","Department of Rural Land Use, Scotland's Rural College, Aberdeen, AB21 9YA, UK.","Yau PT, Taketani RG, Bonnin JM, Stewart H, Thompson CMA, Clark IM, Mauchline TH, Malone JG, Ryan MJ, Jones S, Holden N","","Biotechnology and Biological Sciences Research Council, Biotechnology and Biological Sciences Research Council, Biotechnology and Biological Sciences Research Council, Biotechnology and Biological Sciences Research Council",1,"United Kingdom"
"40932285",2025-09-11,"AntiviralDB",0.997535825,"AntiviralDB",0.997535825,"",0,1,"http://www.antiviraldb.com","301","(50.1109,8.6829)","Germany","None","Hunan Provincial Key Laboratory of Clinical Epidemiology, Xiangya School of Public Health, Central South University, Changsha, China.","Huang J, Song Q, Zhang P, Deng L, Gao F, Deng Y, Krol E, RÅ¯Å¾ek D, Khouri R, De Clercq E, Li G","","",1,"China"
"41052717",2025-10-04,"Apiales Genome Resources Database",0.905242801,"TAGR",0.882881775,"Apiales Genome Resources Database",0.905242801,1,"http://tagr.bio2db.com/index.html","200","(36.0649,120.3804)","China","None","School of Life Sciences/ School of Basic Medical Sciences/Library/Key Laboratory for Quality of Salt Alkali Resistant TCM of Hebei Administration of TCM, North China University of Science and Technology, Tangshan 063210, China.","Fu Y, Yu T, Ma X, Liu Z, Li C, Shen S, Zhou R, Zhang Y, Song X","","Hebei Province Science and Technology Support Program, National Key Research and Development Program of China, Natural Science Foundation of Hebei Province, National Natural Science Foundation of China, Tangshan Science and Technology Bureau, National Natural Science Foundation of China",1,"China, China"
"41170337",2025-07-17,"AraceaeDB",0.984830737,"AraceaeDB",0.984830737,"",0,1,"http://www.araceaedb.com","200","(31.2222,121.4581)","China","None","College of Life Science and Agri-forestrys, Southwest University of Science and Technology, No. 59, Middle Section of Qinglong Avenue, Fucheng District, Mianyang 621010, China.","Chen S, Huang Y, Tang D, Long Z, RodrÃ­guez LG, Tian L, Zeng M, Wang B, Zhao X, Hu S, Cao Y","","",1,"China"
"41257542",2025-11-18,"AmDB",0.992295802,"AmDB",0.992295802,"database of Astragalus",0.610408584,1,"http://bioinformatics.nwnu.edu.cn/AmDB","301","(31.2222,121.4581)","China","None","College of Life Science, Northwest Normal University, Lanzhou, China.","Zhang H, Han D, Li J, Fang J, Zhang Y, Yang L, Zhang X, Zeng L, Wang Z, Li T, Zhao E, Li J, An J, You Q, Liu Y, Da L","","",0,"China"
"41389446",2025-12-05,"AMORE",0.904814005,"AMORE",0.904814005,"Monitoring of Oxytocin Research Evidence",0.870869177,1,"http://amore-project.org","301","(1.2897,103.8501)","Singapore","None","Department of Psychology, University of Oslo, Oslo, Norway.","Iversen IA, Alaerts K, Bakermans-Kranenburg M, Becker B, Blair RJ, Bartz JA, Connelly JJ, Ditzen B, Ebner NC, Kang H, Lawson EA, LÃ¸nfeldt NN, Moerkerke M, Montag C, Mora-Jensen AC, Horta M, Peled-Avron L, Procyshyn TL, Sartorius AI, Scheele D, Schneider E, Theofanopoulou C, Yamasue H, Quintana DS","","Research Council of Norway, South-Eastern Norway Regional Health Authority, Research Council of Norway, Kavlifondet",1,"Norway"
"37522378",2024-01-01,"BioLiP2",0.99664706,"BioLiP2",0.99664706,"",0,1,"http://zhanggroup.org/BioLiP","301","(37.7621,-122.3971)","USA","None","Department of Computational Medicine and Bioinformatics, University of Michigan, Ann Arbor, MI 48109, USA.","Zhang C, Zhang X, Freddolino L, Zhang Y","","National Science Foundation, NIAID NIH HHS, National Institutes of Health, NIGMS NIH HHS, NIH HHS, National Science Foundation, National Institute of General Medical Sciences, National Institute of Allergy and Infectious Diseases, National Science Foundation, National Institute of General Medical Sciences",94,"United States"
"37843156",2024-01-01,"BioKA",0.997268438,"BioKA",0.997268438,"Biomarker Knowledgebase for Animals",0.979218622,1,"http://ngdc.cncb.ac.cn/bioka","301","(39.9075,116.3972)","China","None","National Genomics Data Center, Beijing Institute of Genomics, Chinese Academy of Sciences and China National Center for Bioinformation, BeijingÂ 100101, China.","Wang Y, Lin Y, Wu S, Sun J, Meng Y, Jin E, Kong D, Duan G, Bei S, Fan Z, Wu G, Hao L, Song S, Tang B, Zhao W","","National Natural Science Foundation of China, National Natural Science Foundation of China, National Natural Science Foundation of China",8,"China, China"
"37904598",2024-01-01,"BATMAN-TCM",0.986067176,"BATMAN-TCM",0.986067176,"",0,1,"http://bionet.ncpsb.org.cn/batman-tcm","301","(39.9075,116.3972)","China","None","State Key Laboratory of Proteomics, Beijing Proteome Research Center, National Center for Protein Sciences (Beijing), Beijing Institute of Lifeomics, BeijingÂ 102206, China.","Kong X, Liu C, Zhang Z, Cheng M, Mei Z, Li X, Liu P, Diao L, Ma Y, Jiang P, Kong X, Nie S, Guo Y, Wang Z, Zhang X, Wang Y, Tang L, Guo S, Liu Z, Li D","","National key Research and Development Program of China, National key Research and Development Program of China, National Natural Science Foundation of China, National Natural Science Foundation of China",123,"China"
"38561543",2024-04-01,"BMSD",0.992954612,"BMSD",0.992954612,"Big Multiple Sclerosis Data",0.969153416,1,"http://bigmsdata.org","301","(45.4926,9.0778)","Italy","None","Department of Clinical Neuroscience, Karolinska Institute, Stockholm, Sweden.","Glaser A, Butzkueven H, van der Walt A, Gray O, Spelman T, Zhu C, Trojano M, Iaffaldano P, Battaglia MA, Lucisano G, Vukusic S, Vukusic I, Casey R, Horakova D, Drahota J, Magyari M, Joensen H, Pontieri L, Elberling F, Klyve P, Mouresan EF, Forsberg L, Hillert J","","Bristol-Myers Squibb, Novartis, Biogen, Merck KGaA, Sanofi, Roche, Karolinska Institute",6,"Sweden"
"38593479",2024-04-05,"Biomarkers ATLAS",0.775093504,"Biomarkers ATLAS",0.775093504,"",0,1,"http://biomarkersatlas.com","301","(53.2192,6.5667)","Netherlands","None","Department of Public Health, Federico II University of Naples, Via S. Pansini, 5, 80131 Naples, Italy.","Malapelle U, Passiglia F, Pepe F, Pisapia P, Lucia Reale M, Cortinovis D, Fraggetta F, Galetta D, Garbo E, Graziano P, Pagni F, Pasello G, Piovano P, Pilotto S, Tiseo M, Genova C, Righi L, Troncone G, Novello S","","",5,"Italy"
"39043628",2024-07-01,"AWIR",0.895343259,"AWIR",0.895343259,"Repository",0.596171498,1,"http://projectportal.gri.msstate.edu/awir","301","(33.4505,-88.8196)","USA","None","Geosystems Research Institute, Mississippi State University, 2 Research Blvd, Starkville, MS 39759, United States.","Samiappan S, Krishnan BS, Dehart D, Jones LR, Elmore JA, Evans KO, Iglay RB","","Geosystems Research Institute of Mississippi State University, Wildlife Research Center, Center for Resolving Human-wildlife Conflicts of the Forest",2,"United States"
"39149420",2024-08-01,"BBSdb",0.997647583,"BBSdb",0.997647583,"",0,1,"http://124.222.145.44","200","(31.2222,121.4581)","China","None","State Key Laboratory of Pharmaceutical Biotechnology, Medical School, Nanjing University, Nanjing, Jiangsu, China.","Zhang Z, Pan Y, Hussain W, Chen G, Li E","","National Natural Science Foundation of China",7,"China"
"39237197",2024-03-06,"BeetleAtlas",0.99441278,"BeetleAtlas",0.99441278,"",0,1,"http://www.beetleatlas.org","301","(51.5085,-0.1257)","UK","None","College of Medical, Veterinary and Life Sciences, University of Glasgow, Glasgow G12 8QQ, UK.","Leader DP, Naseem MT, Halberg KV","","Danish Council for Independent Research Natural Sciences, Villum Foundation",11,"United Kingdom"
"39298565",2024-09-01,"Autophagy3D",0.988600701,"Autophagy3D",0.988600701,"",0,1,"http://autophagy3d.igib.res.in","301","(28.6519,77.2315)","India","None","Computational Structural Biology Lab, CSIR-Institute of Genomics and Integrative Biology, Mathura Road, New Delhi 110025, India.","Neha, Castin J, Fatihi S, Gahlot D, Arun A, Thukral L","","Department of Biotechnology, Ministry of Science and Technology, India",0,"India"
"39353863",2024-09-01,"AVM",0.92204392,"AVM",0.92204392,"",0,1,"http://www.bio-bigdata.center/AVM","302","(39.9075,116.3972)","China","None","College of Bioinformatics Science and Technology, Harbin Medical University, Harbin 150081, China.","Mei L, Hou Y, Zhou J, Chang Y, Liu Y, Wang D, Zhang Y, Ning S, Li X","","",1,"China"
"39407093",2024-10-15,"BE-dataHIVE",0.948015046,"BE-dataHIVE",0.948015046,"",0,1,"http://be-datahive.com","200","(34.0522,-118.2437)","USA","None","Department of Computer Science, University of Oxford, Parks Road, Oxford, OX1 3QD, UK. lucas.schneider@cs.ox.ac.uk.","Schneider L, Minary P","","",0,"United Kingdom"
"39423319",2024-10-18,"BioTRY",0.996878624,"BioTRY",0.996878624,"",0,1,"http://www.synbiohealth.cn/biotry","301","(39.9075,116.3972)","China","None","Department of Chemical and Biomolecular Engineering, School of Life Science and Technology, Wuhan Polytechnic University, Wuhan 430023, China.","Tian Y, Yang L, Ding S, Zhang D, Yuan L, Liu Z, Hu QN","","Major scientific and technological research project of Tianjin",1,"China"
"39470730",2025-01-01,"BGC",0.919317007,"BGC",0.919317007,"",0,1,"http://bgc-atlas.cs.uni-tuebingen.de","301","(48.5227,9.0522)","Germany","None","Translational Genome Mining for Natural Products, Interfaculty Institute of Microbiology and Infection Medicine TÃ¼bingen (IMIT), Interfaculty Institute for Biomedical Informatics (IBMI), University of TÃ¼bingen, Auf der Morgenstelle 28, 72076Â TÃ¼bingen, Germany.","BaÄcÄ± C, Nuhamunada M, Goyat H, Ladanyi C, Sehnal L, Blin K, Kautsar SA, Tagirdzhanov A, Gurevich A, Mantri S, von Mering C, Udwary D, Medema MH, Weber T, Ziemert N","","Saarland University, Novo Nordisk Foundation, Federal Ministry of Research and Education, Federal Ministry of Research and Education (BMBF), Novo Nordisk Foundation, NNF Center for Biosustainability, Office of Science, Horizon EuropeâResearch and Innovation Framework Programme, German Centre for Infection Research (DZIF), National Agri-Food Biotechnology Institute, Horizon Europe-Research and Innovation Framework Programme, Department of Energy, German Centre for Infection Research",25,"Germany"
"39475723",2024-10-01,"BakRep",0.888410568,"BakRep",0.888410568,"",0,1,"http://bakrep.computational.bio","HTTPConnectionPool(host='bakrep.computational.bio', port=80): Pool is closed.","",NA,"None","Bioinformatics and Systems Biology, Justus Liebig University Giessen, Giessen, Germany.","Fenske L, Jelonek L, Goesmann A, Schwengers O","","German Network for Bioinformatics Infrastructure",4,"Germany"
"39514415",2024-11-01,"athisomiRDB",0.994966626,"athisomiRDB",0.994966626,"",0,1,"http://www.nipgr.ac.in/athisomiRDB","301","(28.6519,77.2315)","India","None","Bioinformatics Laboratory, National Institute of Plant Genome Research (NIPGR), Aruna Asaf Ali Marg, New Delhi 110067, India.","Vivek AT, Arya A, Swain SP, Kumar S","","DBT, Government of India, and NIPGR, laboratory of S.K., Department of Biotechnology, Ministry of Science and Technology, India, DBT, Government of India, and NIPGR, laboratory of S.K., DBT, Government of India, and NIPGR, laboratory of S.K., DBT, Government of India, and NIPGR, laboratory of S.K.",1,"India"
"39530217",2025-01-01,"ASpdb",0.997888744,"ASpdb",0.997888744,"",0,1,"http://biodataai.uth.edu/ASpdb","301","(37.7621,-122.3971)","USA","None","McWilliams School of Biomedical Informatics, The University of Texas Health Science Center at Houston, 7000 Fannin Street, Suite 600, Houston, TXÂ 77030, USA.","Yang Y, Kumar H, Xie Y, Li Z, Li R, Chen W, Diala CS, Ali MA, Xu Y, Wu A, Hosseini SR, Bi E, Zhao H, Kim P, Zheng WJ","","National Institutes of Health, NCATS NIH HHS, NCATS NIH HHS, National Institutes of Health, National Institutes of Health, Cancer Prevention and Research Institute of Texas, NLM NIH HHS, NCATS NIH HHS, National Institutes of Health, National Institutes of Health, NIGMS NIH HHS, NIMH NIH HHS, Department of Defense, University of Texas Health Science Center at Houston, National Institutes of Health, NIGMS NIH HHS, National Institutes of Health, NIH HHS",4,"United States"
"39602824",2024-11-01,"AsSSRdb",0.985115433,"AsSSRdb",0.985115433,"SSR database",0.938465834,1,"http://as-fmmdb.shinyapps.io/asssrdb","301","(39.0437,-77.4875)","USA","None","Oasis Systems Research Unit, Regional Center of Agricultural Research of Errachidia, National Institute of Agricultural Research, Avenue Ennasr, BP 415 Rabat Principale, Rabat 10090, Morocco.","Rabeh K, Mghazli N, Gaboun F, Filali-Maltouf A, Sbabou L, Belkadi B","","",3,"Morocco"
