ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations
22345505,Arabidopsis Network Analysis Pipeline,0.910027817,ANAP,0.893375516,Arabidopsis Network Analysis Pipeline,0.910027817,1,http://gmdd.shgmo.org/Computational-Biology/ANAP,200,US,"(32.7157,-117.1647)",None,2012-02-16,"State Key Laboratory of Hybrid Rice, School of Life Sciences and Biotechnology, Bio-X Center, Shanghai Jiao Tong University, Shanghai 200240, China.","Wang C, Marshall A, Zhang D, Wilson ZA",,"Biotechnology and Biological Sciences Research Council, Biotechnology and Biological Sciences Research Council",25.0
22434840,Aptamer Base,0.971290752,Aptamer Base,0.971290752,,0,1,http://aptamer.freebase.com,404,,,None,2012-03-20,"Department of Biology, Carleton University, Ottawa, ON, Canada. jctoledo@connect.carleton.ca","Cruz-Toledo J, McKeague M, Zhang X, Giamberardino A, McConnell E, Francis T, DeRosa MC, Dumontier M",,,51.0
22559261,AlliumMap,0.986065328,AlliumMap,0.986065328,,0,1,http://alliumgenetics.org,"HTTPConnectionPool(host='alliumgenetics.org', port=80): Max retries exceeded with url: / (Caused by ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')))",,,None,2012-05-04,"The New Zealand Institute for Plant & Food Research Ltd, Christchurch, New Zealand. john.mccallum@plantandfood.co.nz","McCallum J, Baldwin S, Shigyo M, Deng Y, van Heusden S, Pither-Joyce M, Kenel F",,,22.0
22647208,AlzPathway,0.996937859,AlzPathway,0.996937859,,0,1,http://alzpathway.org,200,JP,"(35.6895,139.6917)",None,2012-05-30,"Department of Bioinformatics, Tokyo Medical and Dental University, Yushima 1-5-45, Tokyo, 113-8510, Japan.","Mizuno S, Iijima R, Ogishima S, Kikuchi M, Matsuoka Y, Ghosh S, Miyamoto T, Miyashita A, Kuwano R, Tanaka H",,,111.0
22659196,Alkamid,0.985504031,Alkamid,0.985504031,,0,1,http://alkamid.ugent.be,404,,,None,2012-05-30,"Drug Quality and Registration (DruQuaR) Group, Faculty of Pharmaceutical Sciences, Ghent University, Harelbekestraat 72, B-9000 Ghent, Belgium.","Boonen J, Bronselaer A, Nielandt J, Veryser L, De Tré G, De Spiegeleer B",,“Institute for the Promotion of Innovation through Science and Technology in Flanders (IWT-Vlaanderen)”,72.0
22682155,AFFINOMICS,0.97896564,AFFINOMICS,0.97896564,,0,1,http://www.affinomics.org,200,US,"(37.7621,-122.3971)",None,2012-06-01,None,"Stoevesandt O, Taussig MJ",,"EU 7th Framework Programme, Biotechnology and Biological Sciences Research Council",20.0
"22753137, 21702733",ALSoD,0.907861531,ALSoD,0.907861531,Online Database,0.633407295,2,http://alsod.iop.kcl.ac.uk,301,GB,"(51.5085,-0.1257)",None,2012-07-16,"Department of Clinical Neuroscience, King's College London, Institute of Psychiatry, London, UK.; Neuropsychiatric Genetics Group, Department of Vertebrate Genomics, Max Planck Institute for Molecular Genetics, Berlin, Germany.","Abel O, Powell JF, Andersen PM, Al-Chalabi A, Lill CM, Abel O, Bertram L, Al-Chalabi A",,European Commission FP7; European Commission FP7,343.0
22829726,Actinobase,0.993042409,Actinobase,0.993042409,,0,1,http://www.actinobase.in,"HTTPConnectionPool(host='www.actinobase.in', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ed4b195ad90>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,None,2012-06-16,"Department of Biosciences, Saurashtra University, Rajkot, Gujarat, India-360 005.","Sharma AK, Gohel S, Singh SP",,,5.0
23092397,admetSAR,0.990115881,admetSAR,0.990115881,,0,1,http://www.admetexp.org,302,CA,"(45.5088,-73.5878)",None,2012-11-01,"Shanghai Key Laboratory of New Drug Design, School of Pharmacy, East China University of Science and Technology, 130 Meilong Road, Shanghai 200237, China.","Cheng F, Li W, Zhou Y, Shen J, Wu Z, Liu G, Lee PW, Tang Y",,,1173.0
23193282,Allen Brain Atlas,0.758832355,Allen Brain Atlas,0.758832355,,0,1,http://www.brain-map.org,301,US,"(37.7725,-122.4147)",None,2012-11-28,"Allen Institute for Brain Science, 551 North 34th Street, Seattle, WA 98103, USA. susans@alleninstitute.org","Sunkin SM, Ng L, Lau C, Dolbeare T, Gilbert TL, Thompson CL, Hawrylycz M, Dang C",,"PHS HHS, NIMH NIH HHS, NHLBI NIH HHS, NIMH NIH HHS, NIMH NIH HHS",664.0
"23203891, 26980515",2P2I,0.99723657,2P2I,0.99723657,,0,2,http://2p2idb.cnrs-mrs.fr,"HTTPConnectionPool(host='2p2idb.cnrs-mrs.fr', port=80): Pool is closed.",,,None,2012-11-30,"Laboratory of Integrative Structural and Chemical Biology (iSCB), Centre de Recherche en Cancérologie de Marseille (CRCM), CNRS UMR 7258, INSERM U 1068, Institut Paoli-Calmettes, Marseille, France.; Centre de Recherche en Cancérologie de Marseille (CRCM); CNRS, UMR 7258; INSERM U1068; Institut Paoli-Calmettes; Aix-Marseille Université; Marseille 13009, France.","Basse MJ, Betzi S, Bourgeas R, Bouzidi S, Chetrit B, Hamon V, Morelli X, Roche P, Basse MJ, Betzi S, Morelli X, Roche P",,,159.0
23293959,3DMET,0.974991322,3DMET,0.974991322,Three-dimensional structure database of natural metabolites,0.861961424,1,"http://www.genome.jp/kegg/compound/, http://www.3dmet.dna.affrc.go.jp","301, HTTPConnectionPool(host='www.3dmet.dna.affrc.go.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ed4b195a0a0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","JP, ","(34.8904,135.8032), ","None, None",2013-03-07,"Biomolecular Research Unit, National Institute of Agrobiological Sciences , 2-1-2 Kannondai, Tsukuba, Ibaraki 305-8602, Japan.","Maeda MH, Kondo K",,,13.0
23317704,AMDD,0.986542583,AMDD,0.986542583,anti microbial drug database,0.958445907,1,http://www.amddatabase.info,"HTTPConnectionPool(host='www.amddatabase.info', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ed4b19eecd0>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,None,2012-11-07,"Interdisciplinary Biotechnology Unit, Aligarh Muslim University, Aligarh 202002, India.","Danishuddin M, Kaushal L, Hassan Baig M, Khan AU",,"Biotechnology Unit, Department of Biotechnology, AMU",6.0
23993619,aFiSh,0.991861537,aFiSh,0.991861537,NFOODS database on fish and shellfish,0.929391642,1,http://www.fao.org/infoods/biodiversity/index_en.stm,301,US,"(37.7621,-122.3971)",None,2013-07-11,"FAO, Rome, Italy. doris.rittenschober@fao.org","Rittenschober D, Nowak V, Charrondiere UR",,,20.0
24081580,3did,0.997478525,3did,0.997478525,interacting domains,0.710986495,1,http://3did.irbbarcelona.org,302,US,"(37.7621,-122.3971)",None,2013-09-29,"Joint IRB-BSC Program in Computational Biology, Institute for Research in Biomedicine (IRB Barcelona), c/ Baldiri Reixac 10-12, 08028 Barcelona, Spain, Center for Genomic Science of IIT@SEMM, Istituto Italiano di Tecnologia (IIT), Via Adamello 16, 20139 Milan, Italy, California Institute for Quantitative Biomedical Research (qb3) and Department of Bioengineering and Therapeutic Sciences, MC 2530, University of California San Francisco (UCSF) CA 94158-2330, USA and Institució Catalana de Recerca i Estudis Avançats (ICREA), Passeig Lluís Companys 23, 08010 Barcelona, Spain.","Mosca R, Céol A, Stein A, Olivella R, Aloy P",,,203.0
24217911,AgeFactDB,0.997452736,AgeFactDB,0.997452736,JenAge Ageing Factor Database,0.809117585,1,http://agefactdb.jenage.de,301,DE,"(50.9773,11.0354)",None,2013-11-11,"Biocomputing Group, Leibniz Institute for Age Research - Fritz Lipmann Institute, Jena Centre for Systems Biology of Ageing - JenAge, Beutenbergstrasse 11, Jena, Germany.","Hühne R, Thalheim T, Sühnel J",,,42.0
24272250,Arabidopsis Genome Encyclopedia II,0.959254963,RARGE II,0.89071492,Arabidopsis Genome Encyclopedia II,0.959254963,1,http://rarge-v2.psc.riken.jp,"HTTPConnectionPool(host='rarge-v2.psc.riken.jp', port=80): Max retries exceeded with url: / (Caused by ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer')))",,,None,2013-11-21,"RIKEN Center for Sustainable Resource Science, Yokohama, Kanagawa, 230-0045 Japan.","Akiyama K, Kurotani A, Iida K, Kuromori T, Shinozaki K, Sakurai T",,,25.0
24275494,1000 Genomes Selection Browser,0.770321417,,0,1000 Genomes Selection Browser,0.770321417,1,http://hsb.upf.edu,"HTTPConnectionPool(host='hsb.upf.edu', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ed4b1910bb0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))",,,None,2013-11-25,"Program for Population Genetics, Institute of Evolutionary Biology (CSIC-Universitat Pompeu Fabra), 08003 Barcelona, Spain, Population Genomics Node, National Institute for Bioinformatics (INB), Universitat Pompeu Fabra, 08003 Barcelona, Spain, Institute of Molecular Biology and Biotechnology-FORTH, Heraklion, Crete GR 700 13, Greece and Department of Evolutionary Genetics, Max Planck Institute for Evolutionary Anthropology, 04103 Leipzig, Germany.","Pybus M, Dall'Olio GM, Luisi P, Uzkudun M, Carreño-Torres A, Pavlidis P, Laayouni H, Bertranpetit J, Engelken J",,,121.0
24526713,3DGD,0.996886671,3DGD,0.996886671,Genome Database,0.968708754,1,http://3dgd.biosino.org,"HTTPConnectionPool(host='3dgd.biosino.org', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ed4b19105e0>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,None,2014-02-12,"Key Laboratory of Systems Biology, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences, 320 Yue Yang Road, Shanghai 200031, P. R. China, University of Chinese Academy of Sciences, 19A Yuquan Road, Beijing 100049, National Center for Protein Science, Shanghai 333 Haike Road, Pudong District, Shanghai 201210 and Shanghai Center for Bioinformation Technology, 1278 Keyuan Road, Shanghai 201203, P. R. ChinaKey Laboratory of Systems Biology, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences, 320 Yue Yang Road, Shanghai 200031, P. R. China, University of Chinese Academy of Sciences, 19A Yuquan Road, Beijing 100049, National Center for Protein Science, Shanghai 333 Haike Road, Pudong District, Shanghai 201210 and Shanghai Center for Bioinformation Technology, 1278 Keyuan Road, Shanghai 201203, P. R. China.","Li C, Dong X, Fan H, Wang C, Ding G, Li Y",,,12.0
24556904,AlfalfaTFDB,0.975518227,AlfalfaTFDB,0.975518227,,0,1,http://plantpathology.ba.ars.usda.gov/alfalfatfdb.html,"HTTPConnectionPool(host='plantpathology.ba.ars.usda.gov', port=80): Pool is closed.",,,None,2014-02-21,"Molecular Plant Pathology Laboratory, Beltsville Agricultural Research Center, United States Department of Agriculture, 10300 Baltimore Avenue, Beltsville, MD, 20705, USA.","Postnikova OA, Shao J, Nemchinov LG",,,8.0
24628857,AlgaePath,0.996096075,AlgaePath,0.996096075,,0,1,http://algaepath.itps.ncku.edu.tw,"HTTPConnectionPool(host='algaepath.itps.ncku.edu.tw', port=80): Pool is closed.",,,None,2014-03-14,None,"Zheng HQ, Chiang-Hsieh YF, Chien CH, Hsu BK, Liu TL, Chen CN, Chang WC",,,27.0
24888382,AAIR,0.995133579,AAIR,0.995133579,Allergic Airway Inflammation Repository,0.976998336,1,http://aair.cimed.ike.liu.se,"HTTPConnectionPool(host='aair.cimed.ike.liu.se', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ed4b19fdb20>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))",,,None,2014-06-03,"Department of Clinical and Experimental Medicine, Centre for Individualised Medicine, Linköping University, Linköping, Sweden.","Gawel DR, Rani James A, Benson M, Liljenström R, Muraro A, Nestor CE, Zhang H, Gustafsson M",,,0.0
25048123,AgAbDb,0.995833278,AgAbDb,0.995833278,Antigen-Antibody Interaction Database,0.982613113,1,http://bioinfo.net.in/AgAbDb.htm,301,IN,"(18.9888,73.1101)",None,2014-01-01,"Bioinformatics Centre, University of Pune, Ganeshkhind Road, Pune, 411007, Maharashtra, India, urmila@bioinfo.net.in.","Kulkarni-Kale U, Raskar-Renuse S, Natekar-Kalantre G, Saxena SA",,,20.0
25052703,APADB,0.981904626,APADB,0.981904626,,0,1,http://tools.genxpro.net/apadb,308,DE,"(52.0333,8.5333)",None,2014-07-22,nan,nan,nan,nan,0.0
25097382,AllergenPro,0.997101068,AllergenPro,0.997101068,,0,1,http://nabic.rda.go.kr/allergen,404,,,None,2014-06-30,"Genomics Division, National Academy of Agricultural Science (NAAS), Suwon 441-707, Korea.","Kim CK, Seol YJ, Lee DJ, Jeong IS, Yoon UH, Lee JY, Lee GS, Park DS",,,4.0
25229122,ACPro,0.962495983,ACPro,0.962495983,,0,1,http://www.ats.amherst.edu/protein,301,US,"(39.0437,-77.4875)",None,2014-10-14,"Department of Mathematics and Statistics, Amherst College, Amherst, Massachusetts.","Wagaman AS, Coburn A, Brand-Thomas I, Dash B, Jaswal SS",,NSF (UBM-Institutional-Collaborative: The Four-College Biomath Consortium),16.0
25361966,ADReCS,0.995718002,ADReCS,0.995718002,Adverse Drug Reaction Classification System,0.979371885,1,http://bioinf.xmu.edu.cn/ADReCS,302,CN,"(23.1167,113.2500)",None,2014-10-31,"State Key Laboratory of Stress Cell Biology, School of Life Sciences, Xiamen University, Xiamen, Fujian 361102, P.R. China.","Cai MC, Xu Q, Pan YJ, Pan W, Ji N, Li YB, Jin HJ, Liu K, Ji ZL",,,63.0
25378337,APASdb,0.995926738,APASdb,0.995926738,,0,1,http://mosas.sysu.edu.cn/utr,"HTTPConnectionPool(host='mosas.sysu.edu.cn', port=80): Pool is closed.",,,None,2014-11-06,"State Key Laboratory of Biocontrol, Guangdong Province Key Laboratory of Pharmaceutical Functional Genes, School of Life Sciences, Sun Yat-Sen University, Higher Education Mega Center, Guangzhou 510006, People's Republic of China School of Basic Medical Sciences, Beijing University of Chinese Medicine, Beijing 100029, People's Republic of China.","You L, Wu J, Feng Y, Fu Y, Guo Y, Long L, Zhang H, Luan Y, Tian P, Chen L, Huang G, Huang S, Li Y, Li J, Chen C, Zhang Y, Chen S, Xu A",,,72.0
25392412,Addgene Repository,0.828912163,Addgene Repository,0.828912163,,0,1,http://www.addgene.org,301,US,"(37.7621,-122.3971)",None,2014-11-11,"Addgene, Cambridge, MA 02139, USA joanne.kamens@addgene.org.",Kamens J,,,84.0
25392419,AHTPDB,0.997885823,AHTPDB,0.997885823,,0,1,http://crdd.osdd.net/raghava/ahtpdb,"HTTPConnectionPool(host='crdd.osdd.net', port=80): Pool is closed.",,,None,2014-11-11,"Bioinformatics Centre, CSIR-Institute of Microbial Technology, Chandigarh 160036, India.","Kumar R, Chaudhary K, Sharma M, Nagpal G, Chauhan JS, Singh S, Gautam A, Raghava GP",,,131.0
25432889,AlzBase,0.974508405,AlzBase,0.974508405,,0,1,http://alz.big.ac.cn/alzBase,"HTTPConnectionPool(host='alz.big.ac.cn', port=80): Max retries exceeded with url: /alzBase (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ed4b1910580>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,None,2014-11-29,"CAS Key Laboratory of Genome Sciences and Information, Beijing Institute of Genomics, Chinese Academy of Sciences, Beijing, 100101, China.","Bai Z, Han G, Xie B, Wang J, Song F, Peng X, Lei H",,,23.0
25465051,A-WINGS,0.987336159,A-WINGS,0.987336159,,0,1,http://bioinf.mind.meiji.ac.jp/a-wings,"HTTPConnectionPool(host='bioinf.mind.meiji.ac.jp', port=80): Max retries exceeded with url: /a-wings (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ed4b19f6130>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))",,,None,2014-12-03,None,"Yamamoto N, Suzuki T, Kobayashi M, Dohra H, Sasaki Y, Hirai H, Yokoyama K, Kawagishi H, Yano K",,,8.0
25762455,amamutdb.no,0.977049748,amamutdb.no,0.977049748,,0,1,http://amamutdb.no,"HTTPConnectionPool(host='amamutdb.no', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ed4b1927610>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,None,2015-04-09,"Division of Child and Adolescent Health, Department of Medical Genetics, University Hospital of North Norway, Tromsø, Norway.","Riise Stensland HM, Frantzen G, Kuokkanen E, Buvang EK, Klenow HB, Heikinheimo P, Malm D, Nilssen Ø",,European Commission FP VI,16.0
25853886,ALDB,0.989124298,ALDB,0.989124298,nimal,0.511159897,1,http://res.xaut.edu.cn/aldb/index.jsp,"HTTPConnectionPool(host='res.xaut.edu.cn', port=80): Max retries exceeded with url: /aldb/index.jsp (Caused by ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer')))",,,None,2015-04-08,"School of Computer Science and Technology, Xidian University, Xi'an, Shaanxi, PR China; School of Computer Science and Engineering, Xi'an University of Technology, Xi'an, Shaanxi, PR China.","Li A, Zhang J, Zhou Z, Wang L, Liu Y, Liu Y",,,74.0
26088800,AmyLoad,0.924672663,AmyLoad,0.924672663,,0,1,http://comprec-lin.iiar.pwr.edu.pl/amyload,"HTTPConnectionPool(host='comprec-lin.iiar.pwr.edu.pl', port=80): Pool is closed.",,,None,2015-06-17,"Department of Biomedical Engineering, Wroclaw University of Technology, Wroclaw, Poland.","Wozniak PP, Kotulska M",,,46.0
26490961,5SRNAdb,0.94896158,5SRNAdb,0.94896158,,0,1,http://combio.pl/5srnadb,301,PL,"(52.4069,16.9299)",None,2015-10-20,"Department of Computational Biology, Institute of Molecular Biology and Biotechnology, Adam Mickiewicz University, 61-614 Poznan, Poland mszyman@amu.edu.pl.","Szymanski M, Zielezinski A, Barciszewski J, Erdmann VA, Karlowski WM",,,50.0
26602690,Aging Chart,0.833349913,Aging Chart,0.833349913,,0,1,http://agingchart.org,"HTTPConnectionPool(host='agingchart.org', port=80): Pool is closed.",,,None,2015-11-23,"Laboratory of molecular radiobiology and gerontology, Institute of Biology of Komi Science Center of Ural Branch of Russian Academy of Sciences, Syktyvkar, 167982, Russia Laboratory of genetics of aging and longevity, Moscow Institute of Physics and Technology, Dolgoprudny, 141700, Russia Laboratory of postgenomic studies, Engelhardt Institute of Molecular Biology of Russian Academy of Sciences, Moscow, 119991, Russia School of Systems Biology, George Mason University, VA, Manassas, 20110, USA Branch of N.I.Pirogov Russian State Medical University ""Scientific Clinical Center of Gerontology"", Moscow, 117997, Russia amoskalev@list.ru.","Moskalev A, Zhikrivetskaya S, Shaposhnikov M, Dobrovolskaya E, Gurinovich R, Kuryan O, Pashuk A, Jellen LC, Aliper A, Peregudov A, Zhavoronkov A",,,11.0
"26602694, 25555720",APD3,0.988607168,APD3,0.988607168,The antimicrobial peptide database,0.915424158,2,http://aps.unmc.edu/AP,301,US,"(37.7621,-122.3971)",None,2015-11-23,"Department of Pathology and Microbiology, University of Nebraska Medical Center, 986495 Nebraska Medical Center, Omaha, NE 68198-6495, USA gwang@unmc.edu.; Department of Pathology and Microbiology, University of Nebraska Medical Center, 986495 Nebraska Medical Center, Omaha, NE, 68198-6495, USA, gwang@unmc.edu.","Wang G, Li X, Wang Z, Wang G",,"NIAID NIH HHS, NIAID NIH HHS; NIAID NIH HHS, NIAID NIH HHS, NIAID NIH HHS, NIAID NIH HHS",1832.0
26644461,ALCOdb,0.997920737,ALCOdb,0.997920737,Algae Gene Coexpression database,0.973787616,1,http://alcodb.jp,301,JP,"(38.2667,140.8667)",None,2015-12-07,"Graduate School of Information Sciences, Tohoku University, 6-3-09, Aramaki-Aza-Aoba, Aoba-ku, Sendai, 980-8579 Japan Core Research for Evolutional Science and Technology (CREST), Japan Science and Technology Agency (JST), Kawaguchi, Saitama, Japan.","Aoki Y, Okamura Y, Ohta H, Kinoshita K, Obayashi T",,,34.0
26828034,AmphibiaChina,0.995878279,AmphibiaChina,0.995878279,,0,1,http://www.amphibiachina.org,200,CN,"(39.9075,116.3972)",None,2016-01-01,"State Key Laboratory of Genetic Resources and Evolution, Kunming Institute of Zoology, Chinese Academy of Sciences, Kunming, Yunnan 650223, China. chej@mail.kiz.ac.cn.","Che J, Wang K",,,13.0
26861916,ApoCanD,0.977928281,ApoCanD,0.977928281,,0,1,http://crdd.osdd.net/raghava/apocand,"HTTPConnectionPool(host='crdd.osdd.net', port=80): Pool is closed.",,,None,2016-02-10,"Bioinformatics Centre, CSIR-Institute of Microbial Technology, Chandigarh-160036, India.","Kumar R, Raghava GP",,,11.0
27081154,3CDB,0.995992641,3CDB,0.995992641,,0,1,http://3cdb.big.ac.cn,301,CN,"(39.9075,116.3972)",None,2016-04-14,"CAS Key Laboratory of Genome Sciences and Information, Beijing Institute of Genomics, Chinese Academy of Sciences, Beijing, 100101, China University of Chinese Academy of Sciences, Beijing, 100049, China.","Yun X, Xia L, Tang B, Zhang H, Li F, Zhang Z",,,7.0
"27242034, 32542109",Abasy,0.987492204,Abasy,0.987492204,acteria systems,0.613150299,2,http://abasy.ccg.unam.mx,301,MX,"(19.4285,-99.1277)",None,2016-05-30,"Group of Regulatory Systems Biology, Evolutionary Genomics Program, Universidad Nacional Autónoma De México, Av. Universidad S/N, Col. Chamilpa, Cuernavaca, Morelos 62210, México Undergraduate Program in Genomic Sciences, Center for Genomics Sciences, Universidad Nacional Autónoma De México, Av. Universidad S/N, Col. Chamilpa, Cuernavaca, Morelos 62210, México.; Regulatory Systems Biology Research Group, Laboratory of Systems and Synthetic Biology, Center for Genomic Sciences, Universidad Nacional Autónoma de México, Av. Universidad s/n, Col. Chamilpa, 62210 Cuernavaca, Morelos, Mexico.","Ibarra-Arellano MA, Campos-González AI, Treviño-Quintanilla LG, Tauch A, Freyre-González JA, Escorcia-Rodríguez JM, Tauch A, Freyre-González JA",,"Dirección General de Asuntos del Personal Académico, Universidad Nacional Autónoma de México",35.0
27507885,ADPriboDB,0.997497678,ADPriboDB,0.997497678,,0,1,http://ADPriboDB.leunglab.org,405,,,None,2016-08-09,"Department of Biochemistry and Molecular Biology, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD 21205, USA.","Vivelo CA, Wat R, Agrawal C, Tee HY, Leung AK",,NIGMS NIH HHS,47.0
27582018,ANGIOGENES,0.997215807,ANGIOGENES,0.997215807,,0,1,http://angiogenes.uni-frankfurt.de,"HTTPConnectionPool(host='angiogenes.uni-frankfurt.de', port=80): Pool is closed.",,,None,2016-09-01,"Institute of Cardiovascular Regeneration, Centre for Molecular Medicine, Goethe University Frankfurt, Theodor-Stern-Kai 7, Frankfurt am Main 60590, Germany.","Müller R, Weirick T, John D, Militello G, Chen W, Dimmeler S, Uchida S",,,23.0
